sentence_ID,verb,agent,patient
550,worship,protag,Sara
570,quiet,Sara,protag
575,think,protag,Sara
582,scream,protag,Lottie
582,kick,protag,Lottie
582,scream,Lottie,protag
582,kick,Lottie,protag
582,bend,Miss Minchin,protag
600,keep,1920,protag
611,think,protag,Lottie
611,think,Lottie,protag
617,drop,protag,Lottie
617,drop,Lottie,protag
619,dislike,protag,Miss Minchin
619,like,protag,Sara
619,know,protag,Sara
620,give,protag,Lottie
620,give,Lottie,protag
642,drag,protag,Lottie
642,drag,Lottie,protag
704,put,Sara,protag
707,know,protag,Lottie
707,know,Lottie,protag
918,hurt,protag,Lottie
918,hurt,Lottie,protag
919,coax,1887,protag
919,scold,1887,protag
927,look,protag,Lottie
927,look,Lottie,protag
932,pat,Sara,protag
935,lift,protag,Lottie
935,lift,Lottie,protag
1182,clap,protag,Lottie
1182,clap,Lottie,protag
1597,upset,protag,Lottie
1597,upset,Lottie,protag
1801,console,Sara,protag
1832,control,protag,Lottie
1832,control,Lottie,protag
1836,hug,Sara,protag
1845,lift,Sara,protag
1879,forgot,protag,Lottie
1879,forgot,Lottie,protag
1893,make,Sara,protag
